DOL ,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,CAFV,Electric Range,Base MSRP,Legislative District,Electric Utility,2020 Census Tract,Longitude,latitude
236439031,King,Tukwila,WA,98188,2023,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,32,0,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200,-122.29179,47.43473
161293149,King,Woodinville,WA,98072,2021,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,25,0,45,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021802,-122.151665,47.75855
193715455,King,Renton,WA,98055,2022,TESLA,MODEL Y,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033025806,-122.197,47.43876
112712855,King,Seatac,WA,98188,2013,TESLA,MODEL S,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,208,69900,33,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028802,-122.29179,47.43473
7954061,King,Seattle,WA,98119,2020,TESLA,MODEL 3,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,308,0,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033005804,-122.363815,47.63046
230914288,King,Tukwila,WA,98188,2023,JEEP,WRANGLER,Plug-in Hybrid Electric Vehicle   ,Not eligible due to low battery range,21,0,11,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028200,-122.29179,47.43473
8112737,King,Kenmore,WA,98028,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,125,0,46,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022101,-122.2504747,47.7617128
233115172,King,Auburn,WA,98001,2022,RIVIAN,R1T,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,30,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033030405,-122.2849393,47.3384055
225904199,King,Issaquah,WA,98027,2023,VOLVO,XC60,Plug-in Hybrid Electric Vehicle   ,Clean Alternative Fuel Vehicle Eligible,35,0,5,PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032104,-122.03644,47.53374
179260084,King,Seattle,WA,98177,2021,TESLA,MODEL 3,Battery Electric Vehicle   ,Eligibility unknown as battery range has not been researched,0,0,36,CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033001400,-122.382425,47.77279
